issue,time,title,type,url,weekday
LAND & AGRICULTURE,"Jul 6, 2018",President Donald J. Trump Approves Texas Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-texas-disaster-declaration-2/,Friday
IMMIGRATION,"Jul 6, 2018",Remarks by Vice President Pence at U.S. Immigration and Customs Enforcement,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-u-s-immigration-customs-enforcement/,Friday
ECONOMY & JOBS,"Jul 6, 2018","Jobs, Jobs, Jobs: The American Economy Is Booming",NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/jobs-jobs-jobs-american-economy-booming/,Friday
INFRASTRUCTURE & TECHNOLOGY,"Jul 6, 2018",Presidential Message on National Air Traffic Control Day,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/presidential-message-national-air-traffic-control-day/,Friday
FOREIGN POLICY,"Jul 5, 2018",Readout of the Vice President’s Call with Macedonian Prime Minister Zoran Zaev,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-vice-presidents-call-macedonian-prime-minister-zoran-zaev/,Thursday
FOREIGN POLICY,"Jul 5, 2018",Readout of the Vice President’s Call with Greek Prime Minister Alexis Tsipras,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-vice-presidents-call-greek-prime-minister-alexis-tsipras/,Thursday
FOREIGN POLICY,"Jul 5, 2018",Readout of Vice President Mike Pence’s Meeting with President-elect Ivan Duque of Colombia,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-vice-president-mike-pences-meeting-president-elect-ivan-duque-colombia/,Thursday
IMMIGRATION,"Jul 5, 2018","Abolishing Ice Would Erase America’s Borders And Open The Floodgates To More Crime, Drugs, And Terrorism",FACT SHEETS,https://www.whitehouse.gov/briefings-statements/abolishing-ice-erase-americas-borders-open-floodgates-crime-drugs-terrorism/,Thursday
not found,"Jul 4, 2018",Remarks by President Trump at 4th of July Military Appreciation Event,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-4th-july-military-appreciation-event-2/,Wednesday
VETERANS,"Jul 3, 2018",Remarks by President Trump at the Salute to Service Dinner,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-salute-service-dinner/,Tuesday
not found,"Jul 3, 2018",Press Gaggle by Deputy Press Secretary Hogan Gidley,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-gaggle-deputy-press-secretary-hogan-gidley-070318/,Tuesday
FOREIGN POLICY,"Jul 3, 2018",Joint Statement from President Donald J. Trump and Prime Minister Mark Rutte,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/joint-statement-president-donald-j-trump-prime-minister-mark-rutte/,Tuesday
LAND & AGRICULTURE,"Jul 2, 2018",President Donald J. Trump Approves Maryland Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-maryland-disaster-declaration-2/,Monday
not found,"Jul 2, 2018",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-070218/,Monday
FOREIGN POLICY,"Jul 2, 2018",Remarks by President Trump and Prime Minister Rutte of the Kingdom of the Netherlands Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-prime-minister-rutte-kingdom-netherlands-bilateral-meeting/,Monday
FOREIGN POLICY,"Jun 30, 2018",Statement from the Press Secretary on the President’s Conversation with the King of Saudi Arabia,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-presidents-conversation-king-saudi-arabia/,Saturday
ECONOMY & JOBS,"Jun 29, 2018","Six Months in, Tax Reform Is Paying Off",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/six-months-tax-reform-paying-off/,Friday
LAND & AGRICULTURE,"Jun 29, 2018",President Donald J. Trump Approves Nebraska Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-nebraska-disaster-declaration-3/,Friday
BUDGET & SPENDING,"Jun 29, 2018",Remarks by President Trump Celebrating the Six-Month Anniversary of the Tax Cuts and Jobs Act,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-celebrating-six-month-anniversary-tax-cuts-jobs-act/,Friday
ECONOMY & JOBS,"Jun 29, 2018",Six Months Later: Tax Reform Delivers An Economic Resurgence,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/six-months-later-tax-reform-delivers-economic-resurgence/,Friday
LAND & AGRICULTURE,"Jun 28, 2018",President Donald J. Trump Amends American Samoa Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-amends-american-samoa-disaster-declaration/,Thursday
FOREIGN POLICY,"Jun 28, 2018","Remarks by Vice President Pence, President Morales of the Republic Of Guatemala, President Sánchez Cerén of the Republic of El Salvador, and President Hernández of the Republic of Honduras in Joint Press Statements",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-president-morales-republic-guatemala-president-sanchez-ceren-republic-el-salvador-president-hernandez-republic-honduras-joint-pr/,Thursday
FOREIGN POLICY,"Jun 28, 2018",Statement from the Press Secretary on the Visit of President Marcelo Rebelo de Sousa of Portugal,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-president-marcelo-rebelo-de-sousa-portugal-2/,Thursday
IMMIGRATION,"Jun 28, 2018",Readout from First Lady Melania Trump’s Visit to Arizona,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-first-lady-melania-trumps-visit-arizona/,Thursday
not found,"Jun 28, 2018",Press Gaggle by Deputy Press Secretary Lindsay Walters Aboard Air Force One,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-gaggle-deputy-press-secretary-lindsay-walters-aboard-air-force-one-062818/,Thursday
ECONOMY & JOBS,"Jun 28, 2018",Remarks by President Trump at Foxconn Facility,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-foxconn-facility/,Thursday
FOREIGN POLICY,"Jun 28, 2018",Remarks by Vice President Pence and President Lenin Moreno of the Republic Of Ecuador in Joint Press Statements,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-president-lenin-moreno-republic-ecuador-joint-press-statements/,Thursday
not found,"Jun 28, 2018","Second Lady Karen Pence’s Visit to Quito, Ecuador Helps to Strengthen Sister City Relationship",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/second-lady-karen-pences-visit-quito-ecuador-helps-strengthen-sister-city-relationship/,Thursday
FOREIGN POLICY,"Jun 28, 2018",New Annual Data Released by White House Drug Policy Office Shows Record High Cocaine Cultivation and Production in Colombia,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/new-annual-data-released-white-house-drug-policy-office-shows-record-high-cocaine-cultivation-production-colombia/,Thursday
FOREIGN POLICY,"Jun 28, 2018",Statement from the Press Secretary on a Bilateral Meeting Between the United States and Russia,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-bilateral-meeting-united-states-russia/,Thursday
FOREIGN POLICY,"Jun 27, 2018",Statement from the Press Secretary on the Visit of Prime Minister Giuseppe Conte of Italy,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-prime-minister-giuseppe-conte-italy/,Wednesday
FOREIGN POLICY,"Jun 27, 2018",Remarks by President Trump and President Rebelo de Sousa of the Portuguese Republic Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-rebelo-de-sousa-portuguese-republic-bilateral-meeting/,Wednesday
LAW & JUSTICE,"Jun 27, 2018",Statement on Justice Anthony M. Kennedy,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-justice-anthony-m-kennedy/,Wednesday
VETERANS,"Jun 27, 2018",Robert Wilkie is the Right Choice for the Department of Veterans Affairs,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/robert-wilkie-right-choice-department-veterans-affairs/,Wednesday
not found,"Jun 27, 2018",Remarks by President Trump at a Conversation with America’s Future Event,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-conversation-americas-future-event/,Wednesday
FOREIGN POLICY,"Jun 27, 2018",Remarks by Vice President Pence to Migrant Community at the Santa Catarina Shelter,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-migrant-community-santa-catarina-shelter/,Wednesday
IMMIGRATION,"Jun 27, 2018",President Donald J. Trump’s Travel Restrictions Defend Our Country,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-travel-restrictions-defend-country/,Wednesday
HEALTHCARE,"Jun 27, 2018",Presidential Message on Post-Traumatic Stress Disorder (PTSD) Awareness Day,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/presidential-message-post-traumatic-stress-disorder-ptsd-awareness-day/,Wednesday
HEALTHCARE,"Jun 27, 2018",Presidential Message on National HIV Testing Day,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/presidential-message-national-hiv-testing-day/,Wednesday
FOREIGN POLICY,"Jun 27, 2018",Statement from the President Regarding Investment Restrictions,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-regarding-investment-restrictions/,Wednesday
INFRASTRUCTURE & TECHNOLOGY,"Jun 26, 2018",Joint Communiqué on Brazil-U.S. Space Cooperation,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/joint-communique-brazil-u-s-space-cooperation/,Tuesday
FOREIGN POLICY,"Jun 26, 2018",Remarks by Vice President Pence and President Temer of the Federative Republic of Brazil in Joint Press Statements,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-president-temer-federative-republic-brazil-joint-press-statements/,Tuesday
FOREIGN POLICY,"Jun 26, 2018",President Donald J. Trump is Strengthening Bilateral Relations with Jordan,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-strengthening-bilateral-relations-jordan/,Tuesday
not found,"Jun 26, 2018","Remarks by President Trump at the Presentation of the Medal of Honor to First Lieutenant Garlin M. Conner, U.S. Army",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-presentation-medal-honor-first-lieutenant-garlin-m-conner-u-s-army/,Tuesday
FOREIGN POLICY,"Jun 26, 2018",Second Lady Karen Pence’s Visit to Brasilia Renews Sister City Relationship,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/second-lady-karen-pences-visit-brasilia-renews-sister-city-relationship/,Tuesday
IMMIGRATION,"Jun 26, 2018",Remarks by President Trump at a Lunch with Members of Congress,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-lunch-members-congress/,Tuesday
FOREIGN POLICY,"Jun 26, 2018","Remarks by Vice President Pence and President Temer of the Federative Republic Of Brazil Before Bilateral Meeting | Brasília, Brazil",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-president-temer-federative-republic-brazil-bilateral-meeting-brasilia-brazil/,Tuesday
LAW & JUSTICE,"Jun 26, 2018",Presidential Message for the International Day Against Drug Abuse and Illicit Trafficking,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/presidential-message-international-day-drug-abuse-illicit-trafficking/,Tuesday
ECONOMY & JOBS,"Jun 26, 2018",Fox Business: “American Money Flowing Back into America”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/fox-business-american-money-flowing-back-america/,Tuesday
LAW & JUSTICE,"Jun 26, 2018",Statement from the President Regarding Supreme Court Ruling,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-regarding-supreme-court-ruling/,Tuesday
ECONOMY & JOBS,"Jun 26, 2018",Pittsburgh Post-Gazette: “Stand Tough on Trade: It’s a Start to Give Support to U.S. Manufacturing”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/pittsburgh-post-gazette-stand-tough-trade-start-give-support-u-s-manufacturing/,Tuesday
not found,"Jun 26, 2018",President Donald J. Trump and First Lady Melania Trump Celebrate the Fourth of July at the White House,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-first-lady-melania-trump-celebrate-fourth-july-white-house/,Tuesday
FOREIGN POLICY,"Jun 25, 2018",Readout of President Donald J. Trump’s Meeting with King Abdullah II and Queen Rania Al Abdullah of Jordan,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-king-abdullah-ii-queen-rania-al-abdullah-jordan/,Monday
not found,"Jun 25, 2018",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-062518/,Monday
LAND & AGRICULTURE,"Jun 25, 2018",President Donald J. Trump Approves Massachusetts Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-massachusetts-disaster-declaration/,Monday
FOREIGN POLICY,"Jun 25, 2018",Remarks by President Trump and His Majesty King Abdullah II bin Al-Hussein of the Hashemite Kingdom of Jordan Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-majesty-king-abdullah-ii-bin-al-hussein-hashemite-kingdom-jordan-bilateral-meeting/,Monday
LAND & AGRICULTURE,"Jun 25, 2018",President Donald J. Trump Approves Maryland Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-maryland-disaster-declaration/,Monday
LAND & AGRICULTURE,"Jun 25, 2018",President Donald J. Trump Approves Oklahoma Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-oklahoma-disaster-declaration-2/,Monday
VETERANS,"Jun 25, 2018",President Donald J. Trump Signs S. 1869 and S. 2246 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-s-1869-s-2246-law/,Monday
FOREIGN POLICY,"Jun 25, 2018",Readout of Vice President Mike Pence’s Call with Prime Minister Haider al-Abadi of Iraq,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-vice-president-mike-pences-call-prime-minister-haider-al-abadi-iraq/,Monday
not found,"Jun 24, 2018",Readout from First Lady Melania Trump’s Visit to the Students Against Destructive Decisions National Conference,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-first-lady-melania-trumps-visit-students-destructive-decisions-national-conference/,Sunday
BUDGET & SPENDING,"Jun 23, 2018",Remarks by President Trump at a Roundtable Discussion on Tax Reform,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-roundtable-discussion-tax-reform-3/,Saturday
FOREIGN POLICY,"Jun 23, 2018",Readout of Jared Kushner and Jason Greenblatt’s Meeting with the Prime Minister of Israel,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-jared-kushner-jason-greenblatts-meeting-prime-minister-israel-2/,Saturday
LAND & AGRICULTURE,"Jun 22, 2018",President Donald J. Trump Signs H.R. 1397 and H.R. 1719 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-1397-h-r-1719-law/,Friday
IMMIGRATION,"Jun 22, 2018",Remarks by President Trump and Members of the Angel Families on Immigration,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-members-angel-families-immigration/,Friday
IMMIGRATION,"Jun 22, 2018",President Donald J. Trump Stands with the Victims of Illegal Alien Crime,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-stands-victims-illegal-alien-crime/,Friday
HEALTHCARE,"Jun 22, 2018",Statement from the Press Secretary Regarding the Passage of Over 50 Bills by the House of Representatives to Combat the Opioid and Drug Demand Crisis,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-regarding-passage-50-bills-house-representatives-combat-opioid-drug-demand-crisis/,Friday
FOREIGN POLICY,"Jun 22, 2018",Presidential Message to the Congress of the United States,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/presidential-message-congress-united-states-16/,Friday
FOREIGN POLICY,"Jun 22, 2018",Notice Regarding the Continuation of the National Emergency with Respect to the Western Balkans,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/notice-regarding-continuation-national-emergency-respect-western-balkans/,Friday
FOREIGN POLICY,"Jun 22, 2018",Presidential Message to the Congress of the United States,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/presidential-message-congress-united-states-15/,Friday
FOREIGN POLICY,"Jun 22, 2018",Notice Regarding the Continuation of the National Emergency with Respect to North Korea,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/notice-regarding-continuation-national-emergency-respect-north-korea/,Friday
FOREIGN POLICY,"Jun 22, 2018",Readout of Jared Kushner and Jason Greenblatt’s Meeting with the Prime Minister of Israel,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-jared-kushner-jason-greenblatts-meeting-prime-minister-israel/,Friday
FOREIGN POLICY,"Jun 21, 2018",Statement by the Press Secretary on Progress Toward Peace Between Ethiopia and Eritrea,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-progress-toward-peace-ethiopia-eritrea/,Thursday
IMMIGRATION,"Jun 21, 2018","Readout from First Lady Melania Trump’s Visit to McAllen, Texas",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-first-lady-melania-trumps-visit-mcallen-texas/,Thursday
not found,"Jun 21, 2018","President Donald J. Trump Signs H.R. 1900, H.R. 2333, H.R. 2772, and H.R. 4743 into Law",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-1900-h-r-2333-h-r-2772-h-r-4743-law/,Thursday
not found,"Jun 21, 2018",Remarks by President Trump at Cabinet Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-cabinet-meeting-9/,Thursday
