GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Percent; Estimate; All households,Percent; Margin of Error; All households,Limited English-speaking households; Estimate; All households,Limited English-speaking households; Margin of Error; All households,Percent limited English-speaking households; Estimate; All households,Percent limited English-speaking households; Margin of Error; All households,Total; Estimate; Households speaking -- - Spanish,Total; Margin of Error; Households speaking -- - Spanish,Percent; Estimate; Households speaking -- - Spanish,Percent; Margin of Error; Households speaking -- - Spanish,Limited English-speaking households; Estimate; Households speaking -- - Spanish,Limited English-speaking households; Margin of Error; Households speaking -- - Spanish,Percent limited English-speaking households; Estimate; Households speaking -- - Spanish,Percent limited English-speaking households; Margin of Error; Households speaking -- - Spanish,Total; Estimate; Households speaking -- - Other Indo-European languages,Total; Margin of Error; Households speaking -- - Other Indo-European languages,Percent; Estimate; Households speaking -- - Other Indo-European languages,Percent; Margin of Error; Households speaking -- - Other Indo-European languages,Limited English-speaking households; Estimate; Households speaking -- - Other Indo-European languages,Limited English-speaking households; Margin of Error; Households speaking -- - Other Indo-European languages,Percent limited English-speaking households; Estimate; Households speaking -- - Other Indo-European languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Other Indo-European languages,Total; Estimate; Households speaking -- - Asian and Pacific Island languages,Total; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Percent; Estimate; Households speaking -- - Asian and Pacific Island languages,Percent; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Limited English-speaking households; Estimate; Households speaking -- - Asian and Pacific Island languages,Limited English-speaking households; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Percent limited English-speaking households; Estimate; Households speaking -- - Asian and Pacific Island languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Asian and Pacific Island languages,Total; Estimate; Households speaking -- - Other languages,Total; Margin of Error; Households speaking -- - Other languages,Percent; Estimate; Households speaking -- - Other languages,Percent; Margin of Error; Households speaking -- - Other languages,Limited English-speaking households; Estimate; Households speaking -- - Other languages,Limited English-speaking households; Margin of Error; Households speaking -- - Other languages,Percent limited English-speaking households; Estimate; Households speaking -- - Other languages,Percent limited English-speaking households; Margin of Error; Households speaking -- - Other languages
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,16,(X),(X),0,16,-,**,0,16,-,**,0,16,-,**,0,16,-,**,0,16,-,**,0,16,-,**,0,16,-,**,0,16,-,**,0,16,-,**
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1331,96,(X),(X),312,122,23.4,9.0,974,133,73.2,8.5,312,122,32.0,11.7,31,36,2.3,2.8,0,16,0.0,51.2,6,12,0.5,0.9,0,16,0.0,100.0,37,32,2.8,2.5,0,16,0.0,46.8
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1926,88,(X),(X),142,81,7.4,4.2,1258,131,65.3,6.4,142,81,11.3,6.3,48,47,2.5,2.4,0,16,0.0,41.1,18,19,0.9,1.0,0,16,0.0,67.2,46,51,2.4,2.6,0,16,0.0,42.0
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1970,73,(X),(X),488,144,24.8,7.2,1218,120,61.8,6.1,433,131,35.6,9.5,46,53,2.3,2.7,34,48,73.9,41.6,0,16,0.0,1.5,0,16,-,**,123,72,6.2,3.6,21,35,17.1,26.1
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",962,47,(X),(X),130,47,13.5,4.8,463,76,48.1,7.1,102,44,22.0,8.7,47,26,4.9,2.7,25,24,53.2,35.4,28,26,2.9,2.7,0,11,0.0,53.8,8,9,0.8,0.9,3,5,37.5,57.9
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",3008,136,(X),(X),588,214,19.5,7.0,1876,260,62.4,7.9,560,205,29.9,10.6,27,31,0.9,1.0,0,16,0.0,54.8,15,22,0.5,0.7,0,16,0.0,73.6,28,41,0.9,1.4,28,41,100.0,53.8
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1960,72,(X),(X),575,115,29.3,5.7,1262,160,64.4,7.3,567,115,44.9,7.7,18,18,0.9,0.9,8,12,44.4,48.5,0,11,0.0,1.5,0,11,-,**,24,25,1.2,1.3,0,11,0.0,58.2
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",26,38,(X),(X),0,11,0.0,55.9,0,11,0.0,55.9,0,11,-,**,0,11,0.0,55.9,0,11,-,**,0,11,0.0,55.9,0,11,-,**,0,11,0.0,55.9,0,11,-,**
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1817,102,(X),(X),562,137,30.9,7.2,1291,144,71.1,6.3,523,133,40.5,8.9,16,18,0.9,1.0,0,16,0.0,71.2,37,37,2.0,2.0,19,27,51.4,51.4,29,26,1.6,1.4,20,21,69.0,45.3
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",1076,36,(X),(X),359,93,33.4,8.4,687,87,63.8,7.1,347,91,50.5,11.2,43,39,4.0,3.6,4,8,9.3,19.2,0,11,0.0,2.7,0,11,-,**,41,41,3.8,3.8,8,11,19.5,30.2
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1436,62,(X),(X),369,124,25.7,8.4,974,122,67.8,7.6,365,125,37.5,10.6,27,30,1.9,2.1,0,11,0.0,54.8,0,11,0.0,2.1,0,11,-,**,16,26,1.1,1.8,4,9,25.0,37.3
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",2391,77,(X),(X),209,123,8.7,5.1,782,207,32.7,8.6,173,117,22.1,13.3,20,35,0.8,1.5,0,16,0.0,63.7,44,63,1.8,2.6,0,16,0.0,43.0,113,82,4.7,3.4,36,39,31.9,37.0
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",559,32,(X),(X),197,61,35.2,10.6,398,44,71.2,6.8,184,61,46.2,14.4,28,27,5.0,4.9,10,14,35.7,56.4,3,8,0.5,1.4,3,8,100.0,100.0,14,19,2.5,3.5,0,11,0.0,76.1
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1183,75,(X),(X),273,87,23.1,7.3,782,78,66.1,6.1,273,87,34.9,11.0,0,11,0.0,2.5,0,11,-,**,0,11,0.0,2.5,0,11,-,**,40,42,3.4,3.5,0,11,0.0,45.1
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1347,57,(X),(X),374,119,27.8,8.6,982,95,72.9,6.3,367,119,37.4,11.2,14,15,1.0,1.1,7,10,50.0,50.0,0,11,0.0,2.2,0,11,-,**,61,43,4.5,3.2,0,11,0.0,36.3
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",145,46,(X),(X),8,6,5.5,4.4,77,34,53.1,17.9,8,6,10.4,8.7,8,13,5.5,9.0,0,11,0.0,100.0,0,11,0.0,18.6,0,11,-,**,0,11,0.0,18.6,0,11,-,**
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",384,36,(X),(X),51,33,13.3,8.6,209,59,54.4,13.4,38,27,18.2,12.2,18,23,4.7,5.9,13,21,72.2,56.6,0,11,0.0,7.5,0,11,-,**,12,18,3.1,4.7,0,11,0.0,82.3
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",1913,141,(X),(X),826,192,43.2,9.7,1479,167,77.3,6.2,773,176,52.3,11.4,13,22,0.7,1.2,0,16,0.0,79.0,0,16,0.0,1.6,0,16,-,**,69,67,3.6,3.5,53,59,76.8,37.4
