Id,0
1400000US36005000100,English
1400000US36005000200,Spanish or Spanish Creole
1400000US36005000400,Spanish or Spanish Creole
1400000US36005001600,Spanish or Spanish Creole
1400000US36005001900,Spanish or Spanish Creole
1400000US36005002000,English
1400000US36005002300,Spanish or Spanish Creole
1400000US36005002400,English
1400000US36005002500,Spanish or Spanish Creole
1400000US36005002701,Spanish or Spanish Creole
1400000US36005002702,Spanish or Spanish Creole
1400000US36005002800,English
1400000US36005003100,Spanish or Spanish Creole
1400000US36005003300,Spanish or Spanish Creole
1400000US36005003500,Spanish or Spanish Creole
1400000US36005003700,Spanish or Spanish Creole
1400000US36005003800,English
1400000US36005003900,Spanish or Spanish Creole
1400000US36005004001,Spanish or Spanish Creole
1400000US36005004100,Spanish or Spanish Creole
1400000US36005004200,English
1400000US36005004300,Spanish or Spanish Creole
1400000US36005004400,English
1400000US36005004600,English
1400000US36005004800,Spanish or Spanish Creole
1400000US36005005001,Spanish or Spanish Creole
1400000US36005005002,Spanish or Spanish Creole
1400000US36005005100,Spanish or Spanish Creole
1400000US36005005200,Spanish or Spanish Creole
1400000US36005005300,English
1400000US36005005400,Spanish or Spanish Creole
1400000US36005005600,Spanish or Spanish Creole
1400000US36005005902,Spanish or Spanish Creole
1400000US36005006000,Spanish or Spanish Creole
1400000US36005006100,English
1400000US36005006200,Spanish or Spanish Creole
1400000US36005006300,Spanish or Spanish Creole
1400000US36005006400,English
1400000US36005006500,Spanish or Spanish Creole
1400000US36005006700,Spanish or Spanish Creole
1400000US36005006800,Spanish or Spanish Creole
1400000US36005006900,Spanish or Spanish Creole
1400000US36005007000,Spanish or Spanish Creole
1400000US36005007100,Spanish or Spanish Creole
1400000US36005007200,Spanish or Spanish Creole
1400000US36005007300,Spanish or Spanish Creole
1400000US36005007400,Spanish or Spanish Creole
1400000US36005007500,Spanish or Spanish Creole
1400000US36005007600,Spanish or Spanish Creole
1400000US36005007700,Spanish or Spanish Creole
1400000US36005007800,Spanish or Spanish Creole
1400000US36005007900,Spanish or Spanish Creole
1400000US36005008300,Spanish or Spanish Creole
1400000US36005008400,Spanish or Spanish Creole
1400000US36005008500,Spanish or Spanish Creole
1400000US36005008600,Spanish or Spanish Creole
1400000US36005008700,Spanish or Spanish Creole
1400000US36005008900,Spanish or Spanish Creole
1400000US36005009000,Spanish or Spanish Creole
1400000US36005009200,Spanish or Spanish Creole
1400000US36005009300,Spanish or Spanish Creole
1400000US36005009600,Spanish or Spanish Creole
1400000US36005009800,Spanish or Spanish Creole
1400000US36005011000,Spanish or Spanish Creole
1400000US36005011502,Spanish or Spanish Creole
1400000US36005011700,Spanish or Spanish Creole
1400000US36005011800,English
1400000US36005011900,Spanish or Spanish Creole
1400000US36005012101,Spanish or Spanish Creole
1400000US36005012102,Spanish or Spanish Creole
1400000US36005012300,Spanish or Spanish Creole
1400000US36005012500,Spanish or Spanish Creole
1400000US36005012701,Spanish or Spanish Creole
1400000US36005012901,Spanish or Spanish Creole
1400000US36005013000,English
1400000US36005013100,Spanish or Spanish Creole
1400000US36005013200,English
1400000US36005013300,Spanish or Spanish Creole
1400000US36005013500,Spanish or Spanish Creole
1400000US36005013800,English
1400000US36005014100,Spanish or Spanish Creole
1400000US36005014300,Spanish or Spanish Creole
1400000US36005014400,English
1400000US36005014500,Spanish or Spanish Creole
1400000US36005014701,Spanish or Spanish Creole
1400000US36005014702,Spanish or Spanish Creole
1400000US36005014900,Spanish or Spanish Creole
1400000US36005015100,Spanish or Spanish Creole
1400000US36005015200,Spanish or Spanish Creole
1400000US36005015300,Spanish or Spanish Creole
1400000US36005015500,Spanish or Spanish Creole
1400000US36005015700,Spanish or Spanish Creole
1400000US36005015800,English
1400000US36005015900,Spanish or Spanish Creole
1400000US36005016000,English
1400000US36005016100,Spanish or Spanish Creole
1400000US36005016200,English
1400000US36005016300,English
1400000US36005016400,English
1400000US36005016500,English
1400000US36005016600,English
1400000US36005016700,English
1400000US36005016900,English
1400000US36005017100,English
1400000US36005017300,Spanish or Spanish Creole
1400000US36005017500,Spanish or Spanish Creole
1400000US36005017701,Spanish or Spanish Creole
1400000US36005017702,Spanish or Spanish Creole
1400000US36005017901,Spanish or Spanish Creole
1400000US36005017902,Spanish or Spanish Creole
1400000US36005018101,Spanish or Spanish Creole
1400000US36005018102,Spanish or Spanish Creole
1400000US36005018301,Spanish or Spanish Creole
1400000US36005018302,Spanish or Spanish Creole
1400000US36005018400,English
1400000US36005018500,Spanish or Spanish Creole
1400000US36005018900,Spanish or Spanish Creole
1400000US36005019300,Spanish or Spanish Creole
1400000US36005019400,English
1400000US36005019500,Spanish or Spanish Creole
1400000US36005019700,Spanish or Spanish Creole
1400000US36005019900,Spanish or Spanish Creole
1400000US36005020000,Spanish or Spanish Creole
1400000US36005020100,Spanish or Spanish Creole
1400000US36005020200,Spanish or Spanish Creole
1400000US36005020400,Spanish or Spanish Creole
1400000US36005020501,Spanish or Spanish Creole
1400000US36005020502,Spanish or Spanish Creole
1400000US36005020601,English
1400000US36005020900,Spanish or Spanish Creole
1400000US36005021001,English
1400000US36005021002,English
1400000US36005021100,Spanish or Spanish Creole
1400000US36005021200,English
1400000US36005021301,Spanish or Spanish Creole
1400000US36005021302,Spanish or Spanish Creole
1400000US36005021501,Spanish or Spanish Creole
1400000US36005021502,Spanish or Spanish Creole
1400000US36005021601,Spanish or Spanish Creole
1400000US36005021602,English
1400000US36005021700,Spanish or Spanish Creole
1400000US36005021800,Spanish or Spanish Creole
1400000US36005021900,Spanish or Spanish Creole
1400000US36005022000,Spanish or Spanish Creole
1400000US36005022101,Spanish or Spanish Creole
1400000US36005022102,Spanish or Spanish Creole
1400000US36005022200,Spanish or Spanish Creole
1400000US36005022300,Spanish or Spanish Creole
1400000US36005022401,Spanish or Spanish Creole
1400000US36005022403,Spanish or Spanish Creole
1400000US36005022404,Spanish or Spanish Creole
1400000US36005022500,Spanish or Spanish Creole
1400000US36005022701,Spanish or Spanish Creole
1400000US36005022702,Spanish or Spanish Creole
1400000US36005022703,Spanish or Spanish Creole
1400000US36005022800,Spanish or Spanish Creole
1400000US36005022901,Spanish or Spanish Creole
1400000US36005022902,Spanish or Spanish Creole
1400000US36005023000,Spanish or Spanish Creole
1400000US36005023100,Spanish or Spanish Creole
1400000US36005023200,Spanish or Spanish Creole
1400000US36005023301,Spanish or Spanish Creole
1400000US36005023302,Spanish or Spanish Creole
