Id,Total,English,Spanish or Spanish Creole,Spanish or Spanish Creole LEP,"French (incl. Patois, Cajun)","French (incl. Patois, Cajun) LEP",French Creole,French Creole LEP,Italian,Italian LEP,Portuguese or Portuguese Creole,Portuguese or Portuguese Creole LEP,German,German LEP,Yiddish,Yiddish LEP,Other West Germanic languages,Other West Germanic languages LEP,Scandinavian languages,Scandinavian languages LEP,Greek,Greek LEP,Russian,Russian LEP,Polish,Polish LEP,Serbo-Croatian,Serbo-Croatian LEP,Other Slavic languages,Other Slavic languages LEP,Armenian,Armenian LEP,Persian,Persian LEP,Gujarati,Gujarati LEP,Hindi,Hindi LEP,Urdu,Urdu LEP,Other Indic languages,Other Indic languages LEP,Other Indo-European languages,Other Indo-European languages LEP,Chinese,Chinese LEP,Japanese,Japanese LEP,Korean,Korean LEP,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian LEP",Hmong,Hmong LEP,Thai,Thai LEP,Laotian,Laotian LEP,Vietnamese,Vietnamese LEP,Other Asian languages,Other Asian languages LEP,Tagalog,Tagalog LEP,Other Pacific Island languages,Other Pacific Island languages LEP,Navajo,Navajo LEP,Other Native North American languages,Other Native North American languages LEP,Hungarian,Hungarian LEP,Arabic,Arabic LEP,Hebrew,Hebrew LEP,African languages,African languages LEP,Other and unspecified languages,Other and unspecified languages LEP,county
1400000US36005000100,7703,5391,2087,1798,7,7,31,31,8,8,8,8,0,0,0,0,0,0,0,0,0,0,26,26,14,14,0,0,0,0,0,0,0,0,0,0,0,0,8,8,23,23,17,17,31,31,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,8,8,0,0,16,16,0,0, Bronx County
1400000US36005000200,5107,1546,3243,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,12,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,34,0,0, Bronx County
1400000US36005000400,5540,2554,2771,737,103,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,18,0,0, Bronx County
1400000US36005001600,5529,1837,2956,1328,94,62,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,119,0,0, Bronx County
1400000US36005001900,2376,977,1191,523,55,4,22,17,0,0,2,2,13,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,55,41,0,0,12,0,25,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0, Bronx County
1400000US36005002000,7976,3940,3804,1609,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,26,0,0, Bronx County
1400000US36005002300,4371,1662,2542,1339,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,25,29,0, Bronx County
1400000US36005002400,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Bronx County
1400000US36005002500,4907,1512,3195,1786,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29,9,0, Bronx County
1400000US36005002701,2759,844,1612,919,125,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,4,45,45, Bronx County
