Id,0
1400000US36005000100,French Creole
1400000US36005000200,African languages
1400000US36005000400,"French (incl. Patois, Cajun)"
1400000US36005001600,African languages
1400000US36005001900,"French (incl. Patois, Cajun)"
1400000US36005002000,Other Indo-European languages
1400000US36005002300,African languages
1400000US36005002400,"French (incl. Patois, Cajun)"
1400000US36005002500,Chinese
1400000US36005002701,African languages
1400000US36005002702,Other and unspecified languages
1400000US36005002800,Japanese
1400000US36005003100,African languages
1400000US36005003300,African languages
1400000US36005003500,African languages
1400000US36005003700,Yiddish
1400000US36005003800,Italian
1400000US36005003900,Other and unspecified languages
1400000US36005004001,Chinese
1400000US36005004100,French Creole
1400000US36005004200,African languages
1400000US36005004300,"French (incl. Patois, Cajun)"
1400000US36005004400,Russian
1400000US36005004600,African languages
1400000US36005004800,Vietnamese
1400000US36005005001,African languages
1400000US36005005002,African languages
1400000US36005005100,French Creole
1400000US36005005200,French Creole
1400000US36005005300,African languages
1400000US36005005400,"French (incl. Patois, Cajun)"
1400000US36005005600,"French (incl. Patois, Cajun)"
1400000US36005005902,Chinese
1400000US36005006000,African languages
1400000US36005006100,African languages
1400000US36005006200,African languages
1400000US36005006300,Other Indic languages
1400000US36005006400,French Creole
1400000US36005006500,African languages
1400000US36005006700,African languages
1400000US36005006800,African languages
1400000US36005006900,African languages
1400000US36005007000,Other Indic languages
1400000US36005007100,French Creole
1400000US36005007200,Other Indic languages
1400000US36005007300,"French (incl. Patois, Cajun)"
1400000US36005007400,African languages
1400000US36005007500,"French (incl. Patois, Cajun)"
1400000US36005007600,Other Indic languages
1400000US36005007700,"French (incl. Patois, Cajun)"
1400000US36005007800,Chinese
1400000US36005007900,Other and unspecified languages
1400000US36005008300,African languages
1400000US36005008400,African languages
1400000US36005008500,African languages
1400000US36005008600,Vietnamese
1400000US36005008700,African languages
1400000US36005008900,Chinese
1400000US36005009000,Chinese
1400000US36005009200,Other Indic languages
1400000US36005009300,"French (incl. Patois, Cajun)"
1400000US36005009600,Other Indic languages
1400000US36005009800,Chinese
1400000US36005011000,"French (incl. Patois, Cajun)"
1400000US36005011502,African languages
1400000US36005011700,African languages
1400000US36005011800,Italian
1400000US36005011900,African languages
1400000US36005012101,African languages
1400000US36005012102,Portuguese or Portuguese Creole
1400000US36005012300,Portuguese or Portuguese Creole
1400000US36005012500,African languages
1400000US36005012701,Chinese
1400000US36005012901,"French (incl. Patois, Cajun)"
1400000US36005013000,Greek
1400000US36005013100,African languages
1400000US36005013200,Polish
1400000US36005013300,African languages
1400000US36005013500,African languages
1400000US36005013800,Other Indo-European languages
1400000US36005014100,African languages
1400000US36005014300,African languages
1400000US36005014400,African languages
