advisor,author,project_format,title,year,title_word_count,title_clean
"Belford, Barbara","Aaron, Kenneth",Print,The Decline Of The Garment District,1995,6,decline garment district
"Rosenblatt, Roger","Agee, Amanda",Print,Women Behind Bars,1995,3,women behind bars
"Svoboda, Wayne","Almeida, Miguel F.",Print,"Brazucas In New York, The Struggles Of A Fragmented Brazilian Community",1995,11,brazucas struggles fragmented brazilian community
"Hoyt, Michael","Ames,Benjamin",Print,"The Privatization Of Services In New York City Parks, A Case Study In Queens",1995,14,privatization services parks case study queens
"Shipp, E. R.","Amin, Rula",Print,Palestinian Americans And The Peace Talks,1995,6,palestinian americans peace talks
"Tillman Irving, Jane","Anderson, Lisa",Print,West Indian Immigrants And Savings Clubs In New York: How West Indian Immigrants Affected The Lending Policies Of New York Banks,1995,21,west indian immigrants savings clubs west indian immigrants affected lending policies banks
"Gissler, Sig","Argy, Stephanie",Print,The Porn Shop Around The Corner,1995,6,porn shop around corner
"Ross, Steven S.","Arons, Rana",Print,Peter J. Callahan: Tabloid Tsar,1995,5,peter j callahan tabloid tsar
"Topping, Seymour","Aronson, Raney",Print,A Nation Living In Exile,1995,5,nation living exile
"Shipp, E. R.","Asato, Cathy",Print,Womens Spirituality Through Pagan Expression,1995,5,womens spirituality pagan expression
"Mills, Joshua","Baldwin, Kirsten",Print,The Continuing Saga Of Daytime Drama,1995,6,continuing saga daytime drama
"Wolff, Craig","Behrend, David W.",Print,"Burning Out And Fading Away: The Long, Slow Death Of The Brooklyn Navy Yard Incinerator",1995,15,burning fading away long slow death brooklyn navy yard incinerator
"Cohen, Daniel","Benvenutti, Wanda",Print And Slides,Model Stories,1995,2,model stories
"Klatell, David","Berman, Carol",Print And Video,Waiting For Justice,1995,3,waiting justice
"Shapiro, Michael","Bertoni, Fabio",Print,Panther Redux,1995,2,panther redux
"Ross, Steven S.","Bhonslay, Marianne M.",Print,World Cup Soccer In America: The Odyssey Of Joe-Max Moore,1995,10,world cup soccer america odyssey joemax moore
"Mills, Joshua","Bierbauer, Erik",Print,The Fall Of The Grumman Empire: Long Islanders Struggle As Big Defense Contractor Fades,1995,14,fall grumman empire long islanders struggle big defense contractor fades
"Padwe, Sandy","Breton, Myriam",Print,535 East 13Th Street: The Portrait Of A Squatters Life,1995,10,535 east 13th street portrait squatters life
"Shapiro, Michael","Butler, Ellen",Print,Problems Of Prosperity,1995,3,problems prosperity
"Gissler, Sig","Byrne, William K.",Print,Breaking The Habit: The Stories Of Three Suburban Heroin Addicts,1995,10,breaking habit stories three suburban heroin addicts
"Levine, Suzanne","Caldwell, Kelly K.",Print,"Pranksters, Predators And Punishment: Dealing With Violent Children",1995,8,pranksters predators punishment dealing violent children
"Levine, Suzanne","Cao, Connie",Print,Trudging To Democracy,1995,3,trudging democracy
"Svoboda, Wayne","Caushi, Genc",Print,An Ever Growing Albanian Community In The Bronx,1995,8,ever growing albanian community bronx
"Goldstein, Kenneth","Chang, Leslie",Print,Our Bodies Are Not Ourselves: Pregnant Women And The Choices They Make,1995,12,bodies pregnant women choices make
"Belford, Barbara","Chaudry, Nina",Print,Vendors Or Victims? Confining Street Peddlers To A Market,1995,9,vendors victims confining street peddlers market
"Gissler, Sig","Chen, I-Chun",Print,The Many Faces Of Chinatown: Long-Time Residents Look To The Future,1995,11,many faces chinatown longtime residents look future
"Ross, Steven","Chiang, Sharline",Print,Hanging On The Net: In Search Of Generation Internet,1995,9,hanging net search generation internet
"Svoboda, Wayne","Chivers, C. J.",Print,Shades Of Green,1995,3,shades green
Title: The Throw Away Kids,"Choo, Gene",Video,The Throw Away Kids,1995,4,throw away kids
"Johnson, Derwin","Chung, Patricia",Print,Feng Shui: An Ancient Chinese Practice Finds A Home In New York,1995,12,feng shui ancient chinese practice finds home
