1995,1995_count,1996,1996_count,1997,1997_count,1998,1998_count,1999,1999_count,2000,2000_count,2001,2001_count,2002,2002_count,2003,2003_count,2004,2004_count,2005,2005_count,2006,2006_count,2007,2007_count,2008,2008_count,2009,2009_count,2010,2010_count,2011,2011_count,2012,2012_count,2013,2013_count,2014,2014_count,2015,2015_count,2016,2016_count,2017,2017_count,2017,2017_count
women,11,women,6,women,16,women,11,gay,9,story,13,life,13,children,12,life,12,life,8,women,13,women,10,one,12,transcript,31,life,14,american,17,see,7,story,11,life,10,one,8,life,8,industry,12,women,16,women,16
street,8,story,6,lives,8,industry,8,harlem,8,life,9,women,8,american,8,one,10,school,7,one,10,brooklyn,9,story,11,documentary,15,one,9,see,11,women,7,black,9,sandy,10,american,7,one,8,us,12,black,12,black,12
world,5,us,6,one,8,america,8,black,7,community,8,one,8,bronx,7,america,9,war,7,harlem,8,immigrants,9,american,8,radio,13,public,8,industry,8,american,7,home,9,america,9,black,6,behind,8,children,9,system,10,system,10
away,5,two,6,public,7,generation,8,years,7,street,8,struggle,7,11,7,women,7,one,6,american,7,one,8,gay,8,one,11,economic,8,women,7,fight,6,gay,8,one,8,business,6,women,7,states,9,america,8,america,8
aids,5,adoption,5,political,6,world,8,women,5,women,8,east,7,america,7,living,7,women,6,life,7,war,8,life,7,women,9,island,7,world,7,us,5,american,8,american,8,life,6,industry,7,united,9,muslim,7,muslim,7
kids,5,gay,5,america,6,community,7,life,5,one,7,america,7,island,7,story,7,home,6,public,6,life,8,young,6,war,9,jazz,6,bronx,7,black,5,women,8,us,8,brooklyn,6,living,7,women,8,justice,7,justice,7
breaking,4,one,5,black,6,life,7,beyond,5,east,7,search,7,one,6,education,7,two,5,parents,6,young,7,food,6,home,8,crisis,6,brooklyn,7,two,4,food,7,world,7,states,6,public,7,american,8,life,7,life,7
one,4,home,5,death,6,schools,6,movement,5,future,6,crisis,7,bling,6,worlds,6,living,5,family,6,church,7,workers,6,love,8,future,6,changing,6,big,4,life,7,education,6,rise,6,violence,7,fight,7,community,7,community,7
immigrants,4,schools,5,harlem,5,children,6,open,5,americans,6,lives,6,kids,6,manhattan,6,world,5,world,6,future,7,us,6,life,7,bear,6,living,6,free,4,see,7,future,6,women,5,fashion,6,behind,7,us,6,us,6
young,4,men,4,struggle,5,dont,6,music,5,inside,6,family,6,street,6,gay,6,years,5,school,6,gay,6,beyond,6,world,7,queens,5,black,6,world,4,love,7,queens,6,digital,5,back,6,immigrants,6,social,6,social,6
