word,count,year
women,11,1995
street,8,1995
world,5,1995
aids,5,1995
kids,5,1995
away,5,1995
home,4,1995
public,4,1995
prison,4,1995
one,4,1995
young,4,1995
death,4,1995
breaking,4,1995
harlem,4,1995
immigrants,4,1995
america,4,1995
indian,4,1995
living,4,1995
community,4,1995
war,4,1995
two,6,1996
story,6,1996
women,6,1996
us,6,1996
schools,5,1996
gay,5,1996
one,5,1996
adoption,5,1996
home,5,1996
call,4,1996
school,4,1996
care,4,1996
world,4,1996
community,4,1996
public,4,1996
men,4,1996
america,4,1996
crisis,4,1996
immigrant,4,1996
life,4,1996
women,16,1997
one,8,1997
lives,8,1997
public,7,1997
death,6,1997
america,6,1997
political,6,1997
black,6,1997
harlem,5,1997
system,5,1997
american,5,1997
struggle,5,1997
become,4,1997
street,4,1997
life,4,1997
aids,4,1997
war,4,1997
family,4,1997
prophets,4,1997
knowledge,3,1997
women,11,1998
industry,8,1998
america,8,1998
generation,8,1998
world,8,1998
life,7,1998
community,7,1998
american,6,1998
schools,6,1998
dont,6,1998
school,6,1998
children,6,1998
war,5,1998
making,5,1998
black,5,1998
us,5,1998
living,5,1998
one,5,1998
struggle,5,1998
story,5,1998
gay,9,1999
harlem,8,1999
black,7,1999
years,7,1999
music,5,1999
movement,5,1999
women,5,1999
us,5,1999
life,5,1999
open,5,1999
beyond,5,1999
school,4,1999
state,4,1999
death,4,1999
day,4,1999
behind,4,1999
struggle,4,1999
story,4,1999
care,4,1999
way,4,1999
story,13,2000
life,9,2000
community,8,2000
street,8,2000
women,8,2000
east,7,2000
one,7,2000
americans,6,2000
inside,6,2000
future,6,2000
black,5,2000
war,5,2000
us,5,2000
people,5,2000
side,4,2000
industry,4,2000
two,4,2000
legacy,4,2000
young,4,2000
american,4,2000
life,13,2001
one,8,2001
women,8,2001
struggle,7,2001
east,7,2001
crisis,7,2001
america,7,2001
search,7,2001
lives,6,2001
housing,6,2001
third,6,2001
family,6,2001
place,5,2001
good,5,2001
bronx,5,2001
home,5,2001
children,5,2001
story,5,2001
community,4,2001
side,4,2001
children,12,2002
american,8,2002
america,7,2002
bronx,7,2002
11,7,2002
island,7,2002
one,6,2002
journey,6,2002
kids,6,2002
street,6,2002
community,6,2002
bling,6,2002
struggle,6,2002
lives,6,2002
music,5,2002
life,5,2002
home,4,2002
mistrust,4,2002
living,4,2002
black,4,2002
life,12,2003
one,10,2003
america,9,2003
education,7,2003
living,7,2003
story,7,2003
women,7,2003
worlds,6,2003
bronx,6,2003
two,6,2003
college,6,2003
making,6,2003
gay,6,2003
manhattan,6,2003
war,5,2003
time,5,2003
school,5,2003
nyc,5,2003
old,5,2003
american,5,2003
life,8,2004
war,7,2004
school,7,2004
women,6,2004
home,6,2004
one,6,2004
world,5,2004
years,5,2004
harlem,5,2004
america,5,2004
two,5,2004
may,5,2004
schools,5,2004
living,5,2004
journey,5,2004
community,4,2004
modern,4,2004
jews,4,2004
health,4,2004
military,4,2004
women,13,2005
one,10,2005
harlem,8,2005
life,7,2005
american,7,2005
black,6,2005
world,6,2005
public,6,2005
school,6,2005
battle,6,2005
parents,6,2005
family,6,2005
high,5,2005
young,5,2005
war,5,2005
immigrant,5,2005
really,5,2005
music,5,2005
fight,5,2005
finding,5,2005
women,10,2006
immigrants,9,2006
brooklyn,9,2006
one,8,2006
war,8,2006
life,8,2006
young,7,2006
church,7,2006
future,7,2006
face,6,2006
