1995_year,1995_count,1996_year,1996_count,1997_year,1997_count,1998_year,1998_count,1999_year,1999_count,2000_year,2000_count,2001_year,2001_count,2002_year,2002_count,2003_year,2003_count,2004_year,2004_count,2005_year,2005_count,2006_year,2006_count,2007_year,2007_count,2008_year,2008_count,2009_year,2009_count,2010_year,2010_count,2011_year,2011_count,2012_year,2012_count,2013_year,2013_count,2014_year,2014_count,2015_year,2015_count,2016_year,2016_count,2017_year,2017_count
women,11.0,two,6.0,women,16.0,women,11.0,gay,9.0,story,13.0,life,13.0,children,12.0,life,12.0,life,8.0,women,13.0,women,10.0,one,12.0,transcript,31.0,life,14.0,american,17.0,women,7.0,story,11,sandy,10.0,one,8.0,life,8.0,industry,12.0,women,16.0
street,8.0,story,6.0,one,8.0,industry,8.0,harlem,8.0,life,9.0,one,8.0,american,8.0,one,10.0,war,7.0,one,10.0,immigrants,9.0,story,11.0,documentary,15.0,one,9.0,see,11.0,see,7.0,black,9,life,10.0,american,7.0,one,8.0,us,12.0,black,12.0
world,5.0,women,6.0,lives,8.0,america,8.0,black,7.0,community,8.0,women,8.0,america,7.0,america,9.0,school,7.0,harlem,8.0,brooklyn,9.0,american,8.0,radio,13.0,public,8.0,industry,8.0,american,7.0,home,9,america,9.0,life,6.0,behind,8.0,united,9.0,system,10.0
aids,5.0,us,6.0,public,7.0,generation,8.0,years,7.0,street,8.0,struggle,7.0,bronx,7.0,education,7.0,women,6.0,life,7.0,one,8.0,gay,8.0,one,11.0,economic,8.0,brooklyn,7.0,fight,6.0,american,8,american,8.0,states,6.0,women,7.0,states,9.0,america,8.0
kids,5.0,schools,5.0,death,6.0,world,8.0,music,5.0,women,8.0,east,7.0,11,7.0,living,7.0,home,6.0,american,7.0,war,8.0,life,7.0,women,9.0,island,7.0,women,7.0,black,5.0,women,8,us,8.0,rise,6.0,living,7.0,children,9.0,community,7.0
away,5.0,gay,5.0,america,6.0,life,7.0,movement,5.0,east,7.0,crisis,7.0,island,7.0,story,7.0,one,6.0,black,6.0,life,8.0,food,6.0,war,9.0,future,6.0,world,7.0,us,5.0,gay,8,one,8.0,black,6.0,violence,7.0,women,8.0,muslim,7.0
home,4.0,one,5.0,political,6.0,community,7.0,women,5.0,one,7.0,america,7.0,one,6.0,women,7.0,world,5.0,world,6.0,young,7.0,us,6.0,home,8.0,jazz,6.0,bronx,7.0,school,4.0,life,7,world,7.0,business,6.0,industry,7.0,american,8.0,justice,7.0
public,4.0,adoption,5.0,black,6.0,american,6.0,us,5.0,americans,6.0,search,7.0,journey,6.0,worlds,6.0,years,5.0,public,6.0,church,7.0,beyond,6.0,love,8.0,bear,6.0,black,6.0,story,4.0,love,7,youth,6.0,brooklyn,6.0,public,7.0,fight,7.0,life,7.0
prison,4.0,home,5.0,harlem,5.0,schools,6.0,life,5.0,inside,6.0,lives,6.0,kids,6.0,bronx,6.0,harlem,5.0,school,6.0,future,7.0,workers,6.0,world,7.0,crisis,6.0,changing,6.0,home,4.0,see,7,marriage,6.0,digital,5.0,story,6.0,behind,7.0,social,6.0
one,4.0,call,4.0,system,5.0,dont,6.0,open,5.0,future,6.0,housing,6.0,street,6.0,two,6.0,america,5.0,battle,6.0,face,6.0,young,6.0,street,7.0,queens,5.0,life,6.0,big,4.0,food,7,queens,6.0,homeless,5.0,back,6.0,still,6.0,us,6.0
young,4.0,school,4.0,american,5.0,school,6.0,beyond,5.0,black,5.0,third,6.0,community,6.0,college,6.0,two,5.0,parents,6.0,struggle,6.0,school,5.0,life,7.0,motion,5.0,living,6.0,two,4.0,us,6,future,6.0,home,5.0,america,6.0,immigrants,6.0,states,5.0
death,4.0,care,4.0,struggle,5.0,children,6.0,school,4.0,war,5.0,family,6.0,bling,6.0,making,6.0,may,5.0,family,6.0,fight,6.0,homeless,5.0,living,7.0,long,5.0,old,5.0,one,4.0,fight,6,home,6.0,united,5.0,fashion,6.0,system,5.0,one,5.0
breaking,4.0,world,4.0,become,4.0,war,5.0,state,4.0,us,5.0,place,5.0,struggle,6.0,gay,6.0,schools,5.0,high,5.0,bronx,6.0,children,5.0,work,7.0,struggle,5.0,last,5.0,world,4.0,world,6,education,6.0,changing,5.0,birth,5.0,war,5.0,work,5.0
harlem,4.0,community,4.0,street,4.0,making,5.0,death,4.0,people,5.0,good,5.0,lives,6.0,manhattan,6.0,living,5.0,young,5.0,school,6.0,bronx,5.0,education,7.0,losing,5.0,story,5.0,struggle,4.0,america,6,inside,6.0,stories,5.0,gay,5.0,lives,5.0,court,5.0
immigrants,4.0,public,4.0,life,4.0,black,5.0,day,4.0,side,4.0,bronx,5.0,music,5.0,war,5.0,journey,5.0,war,5.0,gay,6.0,indian,5.0,black,6.0,death,5.0,age,5.0,rock,4.0,bronx,6,story,6.0,world,5.0,social,5.0,price,5.0,lives,5.0
america,4.0,men,4.0,aids,4.0,us,5.0,behind,4.0,industry,4.0,home,5.0,life,5.0,time,5.0,community,4.0,immigrant,5.0,american,5.0,inside,5.0,music,6.0,journey,4.0,college,5.0,young,4.0,one,6,community,6.0,women,5.0,fight,5.0,life,5.0,industry,5.0
indian,4.0,america,4.0,war,4.0,living,5.0,struggle,4.0,two,4.0,children,5.0,home,4.0,school,5.0,modern,4.0,really,5.0,art,5.0,dreams,5.0,future,6.0,worlds,4.0,immigrants,5.0,change,4.0,urban,5,communities,5.0,culture,4.0,culture,5.0,drain,4.0,bronx,5.0
