1995,1995_count,1996,1996_count,1997,1997_count,1998,1998_count,1999,1999_count,2000,2000_count,2001,2001_count,2002,2002_count,2003,2003_count,2004,2004_count,2005,2005_count,2006,2006_count,2007,2007_count,2008,2008_count,2009,2009_count,2010,2010_count,2011,2011_count,2012,2012_count,2013,2013_count,2014,2014_count,2015,2015_count,2016,2016_count,2017,2017_count,2017,2017_count
new,20,new,19,new,47,new,34,new,38,new,58,new,53,new,45,new,35,new,39,new,39,new,58,new,59,new,47,new,27,new,44,new,29,new,46,new,55,new,52,new,45,new,36,new,32,new,32
women,11,york,13,york,26,york,23,york,29,york,45,york,38,york,30,york,19,york,22,york,18,york,32,york,33,transcript,31,city,18,york,26,york,18,york,29,york,26,york,35,york,38,york,27,york,20,york,20
york,10,city,9,women,16,women,11,city,17,city,23,city,16,city,16,city,17,city,12,women,13,city,20,city,19,york,28,york,17,american,17,city,8,city,14,city,22,city,18,city,17,city,15,women,16,women,16
street,8,two,6,city,9,world,8,gay,9,story,13,life,13,children,12,life,12,life,8,one,10,women,10,one,12,city,18,life,14,city,16,american,7,story,11,sandy,10,one,8,life,8,industry,12,black,12,black,12
world,5,story,6,lives,8,industry,8,harlem,8,life,9,women,8,american,8,one,10,war,7,harlem,8,brooklyn,9,story,11,documentary,15,one,9,see,11,women,7,black,9,life,10,citys,8,one,8,us,12,system,10,system,10
kids,5,women,6,one,8,america,8,years,7,street,8,one,8,america,7,america,9,school,7,american,7,immigrants,9,american,8,radio,13,economic,8,industry,8,see,7,home,9,america,9,american,7,behind,8,states,9,america,8,america,8
away,5,us,6,public,7,generation,8,black,7,women,8,east,7,11,7,education,7,home,6,life,7,life,8,gay,8,one,11,public,8,world,7,fight,6,american,8,yorks,9,business,6,public,7,children,9,city,8,city,8
aids,5,schools,5,yorks,7,life,7,us,5,community,8,search,7,bronx,7,story,7,women,6,city,7,one,8,life,7,women,9,island,7,women,7,black,5,gay,8,us,8,rise,6,violence,7,united,9,community,7,community,7
harlem,4,home,5,political,6,community,7,movement,5,east,7,america,7,island,7,living,7,one,6,parents,6,war,8,beyond,6,war,9,jazz,6,brooklyn,7,us,5,women,8,one,8,life,6,living,7,women,8,justice,7,justice,7
living,4,gay,5,death,6,school,6,women,5,one,7,crisis,7,street,6,women,7,years,5,battle,6,young,7,us,6,yorks,8,crisis,6,bronx,7,young,4,love,7,american,8,yorks,6,industry,7,american,8,muslim,7,muslim,7
